id,expense_name,category_id,project_id,accountId,trip_id,manager_id,expense_date,expense_quantity,unit_currency_id,unit_amount,expense_currency_id,expense_amount,expense_conversion_rate,application_currency_id,application_amount,advance_amount,return_amount,is_reimbursable,is_from_advance,expense_payment_id,expense_payment_ref_no,description,status,createdby,modifiedby,createddate,modifieddate,isactive
1,"Travel Expenses",12,103,68,6,411,2021-01-04,,0,,2,5000.00,0.00,2,5000.00,,,1,0,1,INR53,"For support",saved,540,0,"2021-01-15 10:07:28","2021-01-15 10:07:28",1
2,"Accomodation Expenses",12,103,68,5,411,2021-01-01,,0,,4,78.00,0.00,4,78.00,,,1,0,1,,,saved,540,0,"2021-01-15 10:33:22","2021-01-15 10:33:22",1
3,Food,15,0,0,0,411,2021-01-07,,0,,4,600.00,0.00,4,600.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:17:34","2021-01-15 12:18:39",0
4,Food,12,0,0,0,411,2021-01-13,,0,,4,600.00,0.00,4,600.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:19:24","2021-01-15 12:22:25",0
5,"Travel Expenses",12,0,0,0,411,2021-01-01,,0,,4,500.00,0.00,4,500.00,,,0,0,4,,,saved,540,540,"2021-01-15 12:24:17","2021-01-15 12:31:13",0
6,"Travel Expenses",12,0,0,0,411,2021-01-01,,0,,4,5000.00,0.00,4,5000.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:26:13","2021-01-15 12:31:07",0
7,"Travel Expenses",12,0,0,0,411,2021-01-01,,0,,4,500.00,0.00,4,500.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:31:57","2021-01-15 12:31:57",1
8,"Travel Expenses",12,0,0,0,411,2021-01-01,,0,,4,500.00,0.00,4,500.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:32:45","2021-01-15 12:32:45",1
9,Food,12,0,0,0,411,2021-01-01,,0,,4,7000.00,0.00,4,7000.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:34:45","2021-01-15 12:34:45",1
10,"Travel Expenses",12,0,0,0,411,2021-01-01,,0,,4,500.00,0.00,4,500.00,,,0,0,1,,,saved,540,540,"2021-01-15 12:35:28","2021-01-15 12:35:28",1
11,"Accomodation Expenses One",13,0,0,0,411,2021-01-20,,0,,4,500.00,0.00,4,500.00,,,1,0,1,,,saved,540,0,"2021-01-28 07:29:25","2021-01-28 07:29:25",1
12,"Accomodation Expenses Two",12,103,68,5,411,2021-01-06,,0,,4,5000.00,0.00,4,5000.00,,,0,0,1,,,saved,540,540,"2021-01-28 07:31:02","2021-01-28 07:32:05",1
13,"Travel Expenses",12,0,65,0,2,2021-02-16,,0,,9,500.00,5.00,4,2500.00,,,1,0,4,,,saved,483,483,"2021-02-02 06:29:30","2021-02-08 10:59:08",0
14,"Service Charges",14,99,64,0,536,2021-02-03,,0,,4,540.00,0.00,4,540.00,,,1,0,3,,,saved,571,571,"2021-02-03 10:39:46","2021-02-23 05:34:30",0
15,"Transport service charge",12,99,64,0,536,2021-02-04,,0,,4,4500.00,0.00,4,4500.00,,,1,0,1,,,approved,571,536,"2021-02-04 09:23:33","2021-02-18 13:51:52",1
16,"Service Charges",15,89,0,0,535,2021-02-05,,0,,4,4508.00,0.00,4,4508.00,,,0,0,1,,"No Reimbursable for this Expenses",saved,536,536,"2021-02-05 10:52:07","2021-03-02 13:24:50",0
